序号,名称,B站动漫社UID,B站相应账号名称,是否有术力口社团,B站术力口社团UID,名称
223,遵义医科大学,213488489,遵义Clannad动漫社,否,,
224,海南大学,214464880,Summer动漫社,否,,
225,广西民族大学,215548744,广西民大沧岚动漫社,否,,
226,东南大学,216152431,异度沸腾动漫俱乐部,否,,
227,华南理工大学,216706852,十日月玖久official,否,,
228,河北大学,218867225,河北大学青靥动漫社,否,,
229,兰州交通大学,223601147,AT动漫协会,否,,
230,武昌理工学院,225533371,WUT动漫星空SND,否,,
231,华东政法大学,226351965,华政天野动漫社,否,,
232,太原理工大学,228162246,九重天ACG协会,否,,
233,上海师范大学,236551899,上师大AS动漫协会,否,,
234,扬州大学,238122518,界音动漫社,否,,
235,大同大学,238180201,大同大学23度动漫社,否,,
236,电子科技大学中山学院,242731872,天野-动漫社,否,,
237,电子科技大学成都学院,246880936,野行动漫社YESTHING,否,,
238,中国传媒大学,247721393,TRY动漫社_公式,否,,
239,广西大学,247943650,西大行健动漫社,否,,
240,郑州轻工业大学,248985550,郑州轻工业大学动漫社,否,,
241,天津大学,256132044,天津大学D-Touch动漫社,否,,
242,南京理工大学,256890483,追天重奏动漫社,否,,
243,东昌学院,259437872,星冉动漫社,否,,
244,曲阜师范大学,259459795,一一与零零の社团日常,否,,
245,山东科技大学,259950057,山东科技大学CP动漫社,否,,
246,北京建筑大学,264537676,MirrorWorld漫研社,否,,
247,浙江经济学院,267102234,初代芥子动漫社遗产,否,,
248,盐城工学院,267576519,盐工流火动漫社,否,,
249,西安邮电大学,273079663,IDEA动漫社,否,,
250,上海海事大学,275924566,神曲漫协,否,,
251,武汉轻工大学,284043439,漫临天下动漫社,否,,
252,山西大学,291553336,翎动漫official,否,,
253,长安大学,292192389,新空动漫社空空娘,否,,
254,潍坊科技学院,300348790,梦次元动漫社,否,,
255,上海财经大学,301885510,上财风云动漫社,否,,
256,山东英才学院,319195719,梦之翼动漫协会,否,,
257,北京师范大学,321663391,北京师范大学漫有引力动漫社,否,,
258,西安欧亚学院,323656974,羽之翼咕咕视频投放地,否,,
259,成都信息工程大学,327067034,CUIT零之动漫社,否,,
260,中央音乐学院,329577396,可可桃交响乐团,否,,
261,成都工业学院,334129935,-七维动漫协会-,否,,
262,湖北师范大学,335244755,樱云流火动漫社,否,,
263,北京体育大学,335599071,本我动漫社,否,,
264,苏州科技大学,335850590,曼陀罗动漫社,否,,
265,南京工业职业技术大学,337886931,南工院TK动漫社,否,,
266,苏州大学,339028801,绯舞之樱宣传科,否,,
267,华东理工大学,341244334,华理异度漫协,否,,
268,成都纺织高等专科学校,341931618,成纺可是漫协会,否,,
269,山东艺术学院,345229147,鸷裔动漫社官方姬哟,否,,
270,西南科技大学,347519970,西科大KING动漫社,否,,
271,北京大学,347720468,元火originalfire,否,,
272,西北大学,349420501,青枫_official,否,,
273,河海大学,350347574,天央动漫社,否,,
274,西交利物浦大学,350853280,狸奈动漫社,否,,
275,中北大学,351326118,中北漫无止境动漫社,否,,
276,广东工贸职业技术学院,352424274,沁恒动漫社,否,,
277,太原学院,355947508,艾口米可动漫社,否,,
278,广州商学院,368926798,MY动漫社,否,,
279,山东第一医科大学,372355493,青鸟动漫社-三年Z班,否,,
280,成都师范学院,373552321,成都师范学院动漫社,否,,
281,河南师范大学,375519069,Mac-动漫娘,否,,
282,湖南工商大学,376042724,天也动漫社_official,否,,
283,上海科技大学,376373617,上科大Prism漫研社,否,,
284,湖南信息职业技术学院,378121962,SORA动漫协会,否,,
285,安徽职业技术大学,380524259,天翼娘_Official,否,,
286,浙江经贸职业技术学院,382576022,Dk动漫社,否,,
287,华中科技大学,382680998,华中大风蓝动漫社,否,,
288,湖南工业职业技术学院,383320442,某次元动漫社,否,,
289,兰州财经大学,383556117,薇薇安动漫社,否,,
290,中华女子学院,383774628,女院水精动漫社,否,,
291,北京市商业学校,383864943,韶音动漫社,否,,
292,中国石油大学（华东）,386049230,UPC火鸟动漫社,否,,
293,湖南师范大学,386136985,湖师大科幻动漫协会,否,,
294,南京航空航天大学金城学院,386204419,漫嘉动漫游社,否,,
295,复旦大学,386399015,复旦沸点漫画社,否,,
296,东北农业大学,386613502,东农EAG动漫社,否,,
297,湖南大众传媒职业技术学院,387481949,风暖动漫社,否,,
298,郑州航空工业管理学院,388831059,郑州航院岚翼动漫社,否,,
299,贵州大学,392026851,贵州大学天陨动漫社,否,,
300,河北工业职业技术学院,392793356,河北工院Always动漫社,否,,
301,南京视觉艺术职业学院,393103153,雨孩子动漫社,否,,
302,福州大学,393205107,福州大学团子动漫社,否,,
